"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","644","shouldContinueShopping","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldContinueShopping"
"","660","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","859","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","584","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","659","shouldInvalidLogin","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldInvalidLogin"
"","569","shouldLoginSuccessfully","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldLoginSuccessfully"
"","591","shouldProductAppearInCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldProductAppearInCart"
"","533","shouldAddProductToCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddProductToCart"
"","1250","shouldCompleteCheckout","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldCompleteCheckout"
