"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1338","shouldCompleteCheckout","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","432","shouldLoginSuccessfully","SauceDemo Suite","2026-08-03","failed","2026-08-03","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","579","shouldProductAppearInCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","735","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","659","shouldContinueShopping","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","556","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","692","shouldInvalidLogin","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","694","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","518","shouldAddProductToCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
