"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","524","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","492","shouldContinueShopping","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldContinueShopping"
"","418","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","570","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","426","shouldProductAppearInCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldProductAppearInCart"
"","880","shouldCompleteCheckout","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","298","shouldInvalidLogin","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldInvalidLogin"
"","300","shouldLoginSuccessfully","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldLoginSuccessfully"
"","383","shouldAddProductToCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddProductToCart"
