"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","shouldAddProductToCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","770","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","631","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","541","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","554","shouldProductAppearInCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","516","shouldLoginSuccessfully","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","1189","shouldCompleteCheckout","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","587","shouldInvalidLogin","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","628","shouldContinueShopping","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
