"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","539","shouldAddProductToCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","572","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","712","shouldInvalidLogin","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","717","shouldContinueShopping","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","577","shouldLoginSuccessfully","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","775","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","592","shouldProductAppearInCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","704","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","1345","shouldCompleteCheckout","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
