"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","766","shouldLoginSuccessfully","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","1366","shouldCompleteCheckout","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","504","shouldAddProductToCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","664","shouldContinueShopping","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","684","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","589","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","749","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","590","shouldProductAppearInCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","785","shouldInvalidLogin","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
