"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","567","shouldProductAppearInCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldProductAppearInCart"
"","653","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","1283","shouldCompleteCheckout","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","648","shouldContinueShopping","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldContinueShopping"
"","551","shouldLoginSuccessfully","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldLoginSuccessfully"
"","545","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","601","shouldInvalidLogin","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldInvalidLogin"
"","735","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","496","shouldAddProductToCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddProductToCart"
