"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","647","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","622","shouldContinueShopping","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","465","shouldAddProductToCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","567","shouldProductAppearInCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","1113","shouldCompleteCheckout","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","378","shouldInvalidLogin","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","542","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","371","shouldLoginSuccessfully","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","699","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
