"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","551","shouldLoginSuccessfully","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","688","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","1240","shouldCompleteCheckout","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","631","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","455","shouldAddProductToCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","536","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","558","shouldProductAppearInCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","660","shouldContinueShopping","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","672","shouldInvalidLogin","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
