"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1480","shouldCompleteCheckout","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","800","shouldLoginSuccessfully","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldLoginSuccessfully"
"","866","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","613","shouldAddProductToCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddProductToCart"
"","767","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","876","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","836","shouldInvalidLogin","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldInvalidLogin"
"","665","shouldProductAppearInCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldProductAppearInCart"
"","776","shouldContinueShopping","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldContinueShopping"
