"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","631","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","799","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","1518","shouldCompleteCheckout","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","784","shouldInvalidLogin","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","617","shouldProductAppearInCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","517","shouldAddProductToCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","734","shouldContinueShopping","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","699","shouldLoginSuccessfully","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","936","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
