"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","shouldLoginSuccessfully","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","553","shouldProductAppearInCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","639","shouldContinueShopping","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","469","shouldAddProductToCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","1221","shouldCompleteCheckout","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","537","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","635","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","716","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","547","shouldInvalidLogin","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
