"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","683","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","589","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","716","shouldInvalidLogin","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","570","shouldLoginSuccessfully","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","755","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","668","shouldContinueShopping","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","484","shouldAddProductToCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","599","shouldProductAppearInCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","1247","shouldCompleteCheckout","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
