"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","612","shouldProductAppearInCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","814","shouldInvalidLogin","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","658","shouldLoginSuccessfully","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","705","shouldContinueShopping","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","561","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","785","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","500","shouldAddProductToCart","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","701","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","1402","shouldCompleteCheckout","SauceDemo Suite","2026-08-03","passed","2026-08-03","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
