"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","617","shouldProductAppearInCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldProductAppearInCart"
"","671","shouldContinueShopping","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CartTest","Smoke Tests","tests.CartTest","shouldContinueShopping"
"","505","shouldAddProductToCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddProductToCart"
"","568","shouldRemoveProductFromCart","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","801","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","456","shouldInvalidLogin","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldInvalidLogin"
"","719","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.ProductsTest","Smoke Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","423","shouldLoginSuccessfully","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.LoginTest","Smoke Tests","tests.LoginTest","shouldLoginSuccessfully"
"","1200","shouldCompleteCheckout","SauceDemo Suite","2026-08-04","passed","2026-08-04","tests.CheckoutTest","Smoke Tests","tests.CheckoutTest","shouldCompleteCheckout"
