"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","585","shouldLoginSuccessfully","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","810","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","640","shouldInvalidLogin","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","520","shouldAddProductToCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","737","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","569","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","1352","shouldCompleteCheckout","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","703","shouldContinueShopping","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","672","shouldProductAppearInCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
