"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","454","shouldAddProductToCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","672","shouldInvalidLogin","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","545","shouldProductAppearInCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
"","647","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","688","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","519","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","679","shouldContinueShopping","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","559","shouldLoginSuccessfully","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","1373","shouldCompleteCheckout","SauceDemo Suite","2026-07-25","passed","2026-07-25","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
