"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","637","shouldContinueShopping","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldContinueShopping"
"","744","shouldReturnToCartWhenCancelCheckoutInformation","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldReturnToCartWhenCancelCheckoutInformation"
"","541","shouldRemoveProductFromCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldRemoveProductFromCart"
"","654","shouldAddAndRemoveMultipleProducts","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddAndRemoveMultipleProducts"
"","1180","shouldCompleteCheckout","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CheckoutTest","Regression Tests","tests.CheckoutTest","shouldCompleteCheckout"
"","545","shouldInvalidLogin","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldInvalidLogin"
"","502","shouldLoginSuccessfully","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.LoginTest","Regression Tests","tests.LoginTest","shouldLoginSuccessfully"
"","489","shouldAddProductToCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.ProductsTest","Regression Tests","tests.ProductsTest","shouldAddProductToCart"
"","589","shouldProductAppearInCart","SauceDemo Suite","2026-07-27","passed","2026-07-27","tests.CartTest","Regression Tests","tests.CartTest","shouldProductAppearInCart"
